"tree","label","sampleImage"
"http://example.org/tree/tree17824","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree15642","Tsuga heterophylla","http://commons.wikimedia.org/wiki/Special:FilePath/Hoh%20Rainforest%20-%20Olympic%20National%20Park%20-%20Washington%20State%20%289780384324%29.jpg"
"http://example.org/tree/tree28621","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree33149","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree28885","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree3780","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree9141","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree14280","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree30188","linden tree",
"http://example.org/tree/tree3881","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree473","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree7032","Taxus baccata ʽFastigiata’","http://commons.wikimedia.org/wiki/Special:FilePath/Friedhof%20Sankt-Georg-Garten%20S%C3%A4uleneibe%208286.jpg"
"http://example.org/tree/tree6648","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree755","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree13425","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree28468","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree19490","elm tree",
"http://example.org/tree/tree13229","linden tree",
"http://example.org/tree/tree12028","linden tree",
"http://example.org/tree/tree28201","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree15645","Tsuga heterophylla","http://commons.wikimedia.org/wiki/Special:FilePath/Hoh%20Rainforest%20-%20Olympic%20National%20Park%20-%20Washington%20State%20%289780384324%29.jpg"
"http://example.org/tree/tree31381","linden tree",
"http://example.org/tree/tree33148","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree30926","Malus sylvestris","http://commons.wikimedia.org/wiki/Special:FilePath/Cleaned-Illustration%20Malus%20domestica.jpg"
"http://example.org/tree/tree30189","linden tree",
"http://example.org/tree/tree13228","linden tree",
"http://example.org/tree/tree7517","linden tree",
"http://example.org/tree/tree754","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree13424","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree12029","linden tree",
"http://example.org/tree/tree28200","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree28623","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree31380","linden tree",
"http://example.org/tree/tree17806","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree17826","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree33147","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree9143","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree7034","Taxus baccata ʽFastigiata’","http://commons.wikimedia.org/wiki/Special:FilePath/Friedhof%20Sankt-Georg-Garten%20S%C3%A4uleneibe%208286.jpg"
"http://example.org/tree/tree1387","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree16054","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree12798","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree36569","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree30814","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree19521","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree7007","Abies","http://commons.wikimedia.org/wiki/Special:FilePath/Abies%20alba%20Wis%C5%82a%202.jpg"
"http://example.org/tree/tree35339","Platanus occidentalis","http://commons.wikimedia.org/wiki/Special:FilePath/Sycamore%20Platanus%20occidentalis.jpg"
"http://example.org/tree/tree2959","Castanea","http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2taignier%20120807%201.jpg"
"http://example.org/tree/tree15125","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree37270","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree28626","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree32111","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree26229","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree32377","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree34774","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree12986","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree26440","linden tree",
"http://example.org/tree/tree33146","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree28880","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree5884","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree1388","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree3489","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree25001","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree16053","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree30801","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree20764","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree19520","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree15482","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree15126","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree7006","Abies","http://commons.wikimedia.org/wiki/Special:FilePath/Abies%20alba%20Wis%C5%82a%202.jpg"
"http://example.org/tree/tree14092","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree2320","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree32378","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree4686","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree7036","Taxus baccata ʽFastigiata’","http://commons.wikimedia.org/wiki/Special:FilePath/Friedhof%20Sankt-Georg-Garten%20S%C3%A4uleneibe%208286.jpg"
"http://example.org/tree/tree32112","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree18629","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree12985","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree14886","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree3490","Chamaecyparis lawsoniana","http://commons.wikimedia.org/wiki/Special:FilePath/Chamaecyparis%20lawsoniana%20Siskiyou%20NF%203.jpg"
"http://example.org/tree/tree10324","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree25002","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree14620","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree33145","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree7048","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree471","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree14093","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree15590","Cupressus","http://commons.wikimedia.org/wiki/Special:FilePath/Cupressus%20nootkatensis%2043603.jpg"
"http://example.org/tree/tree12796","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree19523","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree7005","Abies","http://commons.wikimedia.org/wiki/Special:FilePath/Abies%20alba%20Wis%C5%82a%202.jpg"
"http://example.org/tree/tree2321","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree8384","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree13009","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree10325","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree12988","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree19524","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree33144","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree1389","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree14885","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree472","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree29405","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree470","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree15591","Cupressus","http://commons.wikimedia.org/wiki/Special:FilePath/Cupressus%20nootkatensis%2043603.jpg"
"http://example.org/tree/tree27429","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree14094","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree35338","Platanus occidentalis","http://commons.wikimedia.org/wiki/Special:FilePath/Sycamore%20Platanus%20occidentalis.jpg"
"http://example.org/tree/tree8912","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree7979","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree19522","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree27350","Cedrus","http://commons.wikimedia.org/wiki/Special:FilePath/Cedrus%20deodara%20Manali%202.jpg"
"http://example.org/tree/tree15407","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree28627","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree6821","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree15292","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree29406","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree14884","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree33143","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree37216","linden tree",
"http://example.org/tree/tree33141","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree36864","larch",
"http://example.org/tree/tree14222","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree25208","Betula","http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20001.jpg"
"http://example.org/tree/tree12021","linden tree",
"http://example.org/tree/tree29789","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree11923","linden tree",
"http://example.org/tree/tree6826","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree20285","Cupressus","http://commons.wikimedia.org/wiki/Special:FilePath/Cupressus%20nootkatensis%2043603.jpg"
"http://example.org/tree/tree8848","cherry tree",
"http://example.org/tree/tree1799","Pyrus","http://commons.wikimedia.org/wiki/Special:FilePath/Pears.jpg"
"http://example.org/tree/tree36019","linden tree",
"http://example.org/tree/tree1533","Pyrus","http://commons.wikimedia.org/wiki/Special:FilePath/Pears.jpg"
