"species","avgDiameter","avgHeight","avgSpreadRadius"
"http://dbpedia.org/resource/Betula_pendula","0.26960793","12.436275","3.3088236"
"http://dbpedia.org/resource/Araucaria_araucana","0.35999998","11.666667","4.3333335"
"http://dbpedia.org/resource/Robinia_pseudoacacia","0.44","12.8","5.2"
"http://dbpedia.org/resource/Betula_ermanii","0.174","9.4","2.7"
